sentences,parts_of_speech
археологи находят в славянских землях много кладов,существительное глагол предлог прилагательное существительное числительное существительное
но главной составляющей магмы является окись кремния,союз прилагательное существительное существительное глагол существительное существительное
понаблюдайте за своими товарищами во время дискуссии,глагол предлог местоимение существительное предлог существительное существительное
в тех комнатах мебель закрыта была чехлами,предлог местоимение существительное существительное прилагательное глагол существительное
в определённых случаях существование такой зависимости возможно,предлог прилагательное существительное существительное местоимение существительное наречие
сложные процессы протекают на всей её поверхности,прилагательное существительное глагол предлог местоимение местоимение существительное
мы слушали бесконечные рассказы о зарытых кладах,местоимение глагол прилагательное существительное предлог причастие существительное
вдохновение есть расположение души к живому восприятию,существительное глагол существительное существительное предлог прилагательное существительное
душевный подъём не выражается в театральной позе,прилагательное существительное частица глагол предлог прилагательное существительное
наш внутренний мир настроен тонко и верно,местоимение прилагательное существительное прилагательное наречие союз наречие
во дворе малыши строили замок из песка,предлог существительное существительное глагол существительное предлог существительное
я плыл на лодке вниз по реке,местоимение глагол предлог существительное наречие предлог существительное
солнце играло трепещущим золотом в затонах реки,существительное глагол прилагательное существительное предлог существительное существительное
важно вовремя прочесть все эти прекрасные книги,наречие наречие глагол местоимение местоимение прилагательное существительное
я уехал на полгода и не вернулся,местоимение глагол предлог существительное союз частица глагол
каждый факт помогает нам лучше понять прошлое,местоимение существительное глагол местоимение наречие глагол существительное
в древних культурах мы видим свои корни,предлог прилагательное существительное местоимение глагол местоимение существительное
нам ещё многое предстоит пережить и передумать, местоимение наречие существительное глагол глагол союз глагол
активно формируется в наши дни экология культуры,наречие глагол предлог местоимение существительное существительное существительное
он подошёл к телефону и позвонил домой,местоимение глагол предлог существительное союз глагол наречие
земля теряет все накопленное за день тепло,существительное глагол местоимение причастие предлог существительное существительное
в намагниченном состоянии эти токи ориентированы согласованно,предлог причастие существительное местоимение существительное причастие наречие
фотоны видимого света не могут прорваться внутрь,существительное причастие существительное частица глагол глагол наречие
белые льдинки тоненько звенели о края асфальта,прилагательное существительное наречие глагол предлог существительное существительное
эта весело гомонящая троица подошла к остановке,местоимение наречие причастие существительное глагол предлог существительное
в моём портфеле лежала целая кипа предписаний,предлог местоимение существительное глагол прилагательное существительное существительное
я инспектировал безопасность газового оборудования городской котельной,местоимение глагол существительное прилагательное существительное прилагательное существительное
мы угрюмо сели в автобус и поехали,местоимение наречие глагол предлог существительное союз глагол
информация становится основой для его жизненной программы,существительное глагол существительное предлог местоимение прилагательное существительное
я увидел груды сваленных на полу книг,местоимение глагол существительное причастие предлог существительное существительное
он вскакивал и быстро выбегал из класса,местоимение глагол союз наречие глагол предлог существительное
учительница решила проникнуть в таинственную жизнь ученика,существительное глагол глагол предлог прилагательное существительное существительное
осколок снаряда порвал все струны на скрипке,существительное существительное глагол местоимение существительное предлог существительное
актёры ухитрялись разыгрывать спектакли в ночном лесу,существительное глагол глагол существительное предлог прилагательное существительное
женщины перевязывали раненых и стирали бойцам белье,существительное глагол существительное союз глагол существительное существительное
на эстраде появился человек с бледным лицом,предлог существительное глагол существительное предлог прилагательное существительное
многочисленная публика собралась слушать этого оригинального музыканта,прилагательное существительное глагол глагол местоимение прилагательное существительное
гром рукоплесканий восторженной толпы наполнил громадный зал,существительное существительное прилагательное существительное глагол прилагательное существительное
он поднял руки и ударил по клавишам,местоимение глагол существительное союз глагол предлог существительное
молва передавала чудеса о его музыкальном таланте,существительное глагол существительное предлог местоимение прилагательное существительное
она собирала еловые шишки в плетёную корзинку,местоимение глагол прилагательное существительное предлог прилагательное существительное
отец отвёз её погостить к своей сестре,существительное глагол местоимение глагол предлог местоимение существительное
стрелки на циферблате показывали без пяти час,существительное предлог существительное глагол предлог числительное существительное
привстав я у дверей увидел худенького  паренька,деепричастие местоимение предлог существительное глагол прилагательное существительное
мы уговаривали его поехать в суворовское училище,местоимение глагол местоимение глагол предлог прилагательное существительное
я с удовольствием отдам вашему музею копии,местоимение предлог существительное глагол местоимение существительное существительное
с открытки глядело улыбающееся лицо двухлетнего мальчугана,предлог существительное глагол причастие существительное прилагательное существительное
мы с отцом зашли в табачный магазин,местоимение предлог существительное глагол предлог прилагательное существительное
после обеда на нём всегда отдыхала бабушка,предлог существительное предлог местоимение наречие глагол существительное
на уроке литературы учитель садился напротив нас,предлог существительное существительное существительное глагол предлог местоимение
по каждому оврагу через камни мчались ручьи,предлог местоимение существительное предлог существительное глагол существительное
до моего слуха стал доноситься слабенький писк,предлог местоимение существительное глагол глагол прилагательное существительное
ольховые кусты выглядывали из воды одними макушками,прилагательное существительное глагол предлог существительное частица существительное
старик часто сидел на террасе в шезлонге,существительное наречие глагол предлог существительное предлог существительное
я запомнил свою мать седой и усталой,местоимение глагол местоимение существительное прилагательное союз прилагательное
до сих пор слышу её негромкий голос,предлог местоимение существительное глагол местоимение прилагательное существительное
мама подробно рассказывала в письме о ёлке,существительное наречие глагол предлог существительное предлог существительное
в шкафу случайно нашлись разноцветные ёлочные свечи,предлог существительное наречие глагол прилагательное прилагательное существительное
он никому не признавался в своём открытии,местоимение местоимение частица глагол предлог местоимение существительное
жена стояла возле раковины и мыла посуду,существительное глагол предлог существительное союз глагол существительное
