country_label,country,decor_label,decor,type_label,type,file
1,Russia,1,Gzhel,1,pattern,01_01_1_001.png
1,Russia,1,Gzhel,1,pattern,01_01_1_002.png
1,Russia,1,Gzhel,1,pattern,01_01_1_003.png
1,Russia,1,Gzhel,1,pattern,01_01_1_004.png
1,Russia,1,Gzhel,1,pattern,01_01_1_005.png
1,Russia,1,Gzhel,1,pattern,01_01_1_006.png
1,Russia,1,Gzhel,1,pattern,01_01_1_007.png
1,Russia,1,Gzhel,1,pattern,01_01_1_008.png
1,Russia,1,Gzhel,1,pattern,01_01_1_009.png
1,Russia,1,Gzhel,1,pattern,01_01_1_010.png
1,Russia,1,Gzhel,1,pattern,01_01_1_011.png
1,Russia,1,Gzhel,1,pattern,01_01_1_012.png
1,Russia,1,Gzhel,1,pattern,01_01_1_013.png
1,Russia,1,Gzhel,1,pattern,01_01_1_014.png
1,Russia,1,Gzhel,1,pattern,01_01_1_015.png
1,Russia,1,Gzhel,1,pattern,01_01_1_016.png
1,Russia,1,Gzhel,1,pattern,01_01_1_017.png
1,Russia,1,Gzhel,1,pattern,01_01_1_018.png
1,Russia,1,Gzhel,1,pattern,01_01_1_019.png
1,Russia,1,Gzhel,1,pattern,01_01_1_020.png
1,Russia,1,Gzhel,1,pattern,01_01_1_021.png
1,Russia,1,Gzhel,1,pattern,01_01_1_022.png
1,Russia,1,Gzhel,1,pattern,01_01_1_023.png
1,Russia,1,Gzhel,1,pattern,01_01_1_024.png
1,Russia,1,Gzhel,1,pattern,01_01_1_025.png
1,Russia,1,Gzhel,1,pattern,01_01_1_026.png
1,Russia,1,Gzhel,1,pattern,01_01_1_027.png
1,Russia,1,Gzhel,1,pattern,01_01_1_028.png
1,Russia,1,Gzhel,1,pattern,01_01_1_029.png
1,Russia,1,Gzhel,1,pattern,01_01_1_030.png
1,Russia,1,Gzhel,1,pattern,01_01_1_031.png
1,Russia,1,Gzhel,1,pattern,01_01_1_032.png
1,Russia,1,Gzhel,1,pattern,01_01_1_033.png
1,Russia,1,Gzhel,2,product,01_01_2_001.png
1,Russia,1,Gzhel,2,product,01_01_2_002.png
1,Russia,1,Gzhel,2,product,01_01_2_003.png
1,Russia,1,Gzhel,2,product,01_01_2_004.png
1,Russia,1,Gzhel,2,product,01_01_2_005.png
1,Russia,1,Gzhel,2,product,01_01_2_006.png
1,Russia,1,Gzhel,2,product,01_01_2_007.png
1,Russia,1,Gzhel,2,product,01_01_2_008.png
1,Russia,1,Gzhel,2,product,01_01_2_009.png
1,Russia,1,Gzhel,2,product,01_01_2_010.png
1,Russia,1,Gzhel,2,product,01_01_2_011.png
1,Russia,1,Gzhel,2,product,01_01_2_012.png
1,Russia,1,Gzhel,2,product,01_01_2_013.png
1,Russia,1,Gzhel,2,product,01_01_2_014.png
1,Russia,1,Gzhel,2,product,01_01_2_015.png
1,Russia,1,Gzhel,2,product,01_01_2_016.png
1,Russia,1,Gzhel,2,product,01_01_2_017.png
1,Russia,1,Gzhel,2,product,01_01_2_018.png
1,Russia,1,Gzhel,2,product,01_01_2_019.png
1,Russia,1,Gzhel,2,product,01_01_2_020.png
1,Russia,1,Gzhel,2,product,01_01_2_021.png
1,Russia,1,Gzhel,2,product,01_01_2_022.png
1,Russia,1,Gzhel,2,product,01_01_2_023.png
1,Russia,1,Gzhel,2,product,01_01_2_024.png
1,Russia,1,Gzhel,2,product,01_01_2_025.png
1,Russia,1,Gzhel,2,product,01_01_2_026.png
1,Russia,1,Gzhel,2,product,01_01_2_027.png
1,Russia,1,Gzhel,2,product,01_01_2_028.png
1,Russia,1,Gzhel,2,product,01_01_2_029.png
1,Russia,1,Gzhel,2,product,01_01_2_030.png
1,Russia,1,Gzhel,2,product,01_01_2_031.png
1,Russia,1,Gzhel,2,product,01_01_2_032.png
1,Russia,1,Gzhel,2,product,01_01_2_033.png
